"","X","coefficients","r_squared","p_value","gene","p_adj"
"105",105,0.1200176145871,0.0825024262773528,1.1662721620221e-13,"NDFIP1",3.35442088505404e-13
"106",106,0.0825913941276888,0.0822721309498193,1.26550651856923e-13,"HLA.A",3.60549970384818e-13
"107",107,0.0543502949010195,0.0821910540083346,1.30241136287861e-13,"CALR",3.67596478120879e-13
"108",108,0.0723444468233588,0.0820394901541605,1.3743039085722e-13,"UQCRH",3.83576369321814e-13
"109",109,0.0606000859015115,0.0820187777565179,1.38443126675754e-13,"ATP5J",3.83576369321814e-13
"110",110,0.501935389729251,0.0819545262700938,1.41632321322036e-13,"ASIC2",3.88845100356863e-13
"111",111,0.116884684820055,0.0816419768416906,1.58222699996751e-13,"B2M",4.30479778369539e-13
"112",112,0.102161999481463,0.0810003137243632,1.98604930195129e-13,"THY1",5.35524008204723e-13
"113",113,0.0868695326271568,0.0809120342614102,2.04912142317341e-13,"CRLF3",5.47641300706522e-13
"114",114,0.109593479128494,0.0808523441267386,2.09289596446891e-13,"MAN1A2",5.54433843218957e-13
"115",115,0.0574345847825772,0.0804254462605821,2.43437704734051e-13,"PCDH8",6.39288581127682e-13
"116",116,0.352783786589026,0.0803370017723228,2.51179455134738e-13,"RP11.123O10.4",6.53932719402508e-13
"117",117,0.113602795403704,0.0798746944943972,2.95825851711735e-13,"KCNIP1",7.63584677067897e-13
"118",118,0.204582398354581,0.0795843273421276,3.27829606466552e-13,"TMEFF2",8.39021535194057e-13
"119",119,0.147054876647947,0.0786310463770198,4.59232077858139e-13,"PID1",1.16544611355595e-12
"120",120,0.726774997535429,0.07808348862309,5.5726306018028e-13,"CXCL14",1.40244536812037e-12
"121",121,0.0697265787008547,0.0780065279334676,5.72621276048902e-13,"VOPP1",1.42918698650222e-12
"122",122,0.290404870589673,0.0774602266806852,6.94477642578159e-13,"GRIP1",1.71911678736561e-12
"123",123,0.0800868743097583,0.0764321120449672,9.98260806398099e-13,"ATP1A3",2.45101433766037e-12
"124",124,0.0453792760213612,0.0763029626355579,1.04479228757944e-12,"PNOC",2.54457476491122e-12
"125",125,0.0726553946627276,0.076180768450646,1.09080814602118e-12,"GPX4",2.63539248078717e-12
"126",126,0.072978502473468,0.0759064779937551,1.20159694123609e-12,"PTPRZ1",2.8597005956511e-12
"127",127,0.115830675872923,0.0759041368463892,1.20258932333672e-12,"CACNA1D",2.8597005956511e-12
"128",128,0.484970058241917,0.0756019041283056,1.33781546857569e-12,"KCNQ5",3.15640837117077e-12
"129",129,0.0697734814475751,0.0754857873459597,1.39371284097808e-12,"TOMM7",3.26280060446031e-12
